"filename", "language", "JavaScript", "CSS", "XML", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\Modals\AddProductModal\AddProductModal.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 1, 4, 56
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\Modals\EditProductModal\EditProductInputs.js", "JavaScript", 238, 0, 0, 0, 0, 0, 0, 3, 10, 251
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\Modals\EditProductModal\EditProductModal.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 2, 6, 81
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Dashboard\StoreYourProducts\YourProducts.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 12, 10, 194
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Inbox\Chat.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Inbox\Inbox.js", "JavaScript", 119, 0, 0, 0, 0, 0, 0, 2, 9, 130
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Inbox\SendMessage.js", "JavaScript", 172, 0, 0, 0, 0, 0, 0, 3, 7, 182
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\Reviews\ReviewStarRating.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\Reviews\Reviews.js", "JavaScript", 264, 0, 0, 0, 0, 0, 0, 4, 19, 287
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\Store.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 52, 16, 203
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\StoreProductCard.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 2, 9, 143
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\StoreProductModal\StoreProductModal.js", "JavaScript", 226, 0, 0, 0, 0, 0, 0, 3, 11, 240
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\components\User\Store\StoreProductModal\StoreProductPictures.js", "JavaScript", 321, 0, 0, 0, 0, 0, 0, 1, 7, 329
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\index.css", "CSS", 0, 203, 0, 0, 0, 0, 0, 1, 36, 240
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Ljubo\Documents\GitHub\ecommerce\frontend\tailwind.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"Total", "-", 5892, 203, 428, 38, 25082, 26, -3, 281, 338, 32285
